file,line,symbol,literal,semantic_name,classification,yaml_file,yaml_path,schema_field,consumer,action
app/engine_analysis/db_cli_preview.py,34,MAX_CANDLES_HARD_CAP,500,MAX_CANDLES_HARD_CAP,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/db_cli_preview.py:34:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/impulse_phase_diagnostics.py,24,MIN_BARS,20,MIN_BARS,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/impulse_phase_diagnostics.py:24:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/impulse_phase_diagnostics.py,113,lookback_bars,96,lookback_bars,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/impulse_phase_diagnostics.py:113:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/impulse_phase_diagnostics.py,114,impulse_absolute_threshold_pct,3.0,impulse_absolute_threshold_pct,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/impulse_phase_diagnostics.py:114:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/impulse_phase_diagnostics.py,115,impulse_atr_multiplier,2.5,impulse_atr_multiplier,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/impulse_phase_diagnostics.py:115:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/nison_candlestick_context.py,25,SHADOW_TO_BODY_SHAPE_MIN,2.0,SHADOW_TO_BODY_SHAPE_MIN,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/nison_candlestick_context.py:25:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/nison_candlestick_context.py,26,OPPOSITE_SHADOW_TO_RANGE_MAX,0.1,OPPOSITE_SHADOW_TO_RANGE_MAX,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/nison_candlestick_context.py:26:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/nison_candlestick_context.py,27,HAMMER_BODY_POSITION_MIN,0.6,HAMMER_BODY_POSITION_MIN,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/nison_candlestick_context.py:27:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/nison_candlestick_context.py,28,STAR_BODY_POSITION_MAX,0.4,STAR_BODY_POSITION_MAX,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/nison_candlestick_context.py:28:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/ohlc_integrity.py,27,missing_candle_count,0,missing_candle_count,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/ohlc_integrity.py:27:assignment,trace behavior authority; no direct YAML reference on this expression
